Kapitel.Nummer,Identitet,Enhet,Artiklar,Mtrl-summa,Tim-summa,UE-summa,Beräknat pris (kr),Senast uppdaterad,Källa-wbr
17.014,Vitvaror m.m. i kök,st,"Y8.1040500 Spishäll (mtrl 5400, tim 0.7, UE 0, åtgång 1, spill 1)
Y8.1050100 Fläkt över spis (mtrl 2100, tim 1, UE 0, åtgång 1, spill 1)
Y8.1041100 Inbyggnadsugn (mtrl 5550, tim 1, UE 0, åtgång 1, spill 1)
Y8.1021000 Kyl-frys 183/140 l (mtrl 8250, tim 1, UE 0, åtgång 1, spill 1)
Y8.1060100 Diskmaskin (mtrl 7500, tim 1, UE 0, åtgång 1, spill 1)",28800,4.7,0,33171,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.029,Stänkskydd av kakel över bänkinrede,m,"Q1.4328000 Kakelstänkskydd, H=450 färgade (mtrl 119, tim 0.8, UE 0, åtgång 1, spill 1.05)
H5.1736300 Kakellist, 16x55 av björk (mtrl 179, tim 0.14, UE 0, åtgång 1, spill 1.1)",321.85,0.94,0,1196,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
20.003,Underentreprenader VS,st,"A7.1103010 VS-installationer (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A7.1103020 Yttre VA (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A7.1103030 Sprinkler (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",0,0,0,0,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.009,Vinylplastmatta på golv rivs,m²,"R1.1687000 Vinylplastmatta rivs (mtrl 0, tim 0.12, UE 0, åtgång 1, spill 1)",0,0.12,0,112,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.005,WC-utrustning rivs,st,"R7.1002100 Spegel 600x450 rivs (mtrl 0, tim 0.08, UE 0, åtgång 1, spill 1)
R7.1042200 Bägarautomat rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1045000 Klädkrok rivs (mtrl 0, tim 0.02, UE 0, åtgång 1, spill 1)
R7.1046000 Pappershandduksskåp rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1046100 Papperskorg rivs (mtrl 0, tim 0.02, UE 0, åtgång 1, spill 1)
R7.1049000 Toalettpappershållare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1049200 Tvålautomat rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R2.1302200 Kakelfrimärke 750x450 rivs (mtrl 0, tim 0.4, UE 0, åtgång 1, spill 1)",0,0.68,0,632,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.008,Badrumsutrustning rivs,st,"R7.1042000 Badrumsskåp rivs (mtrl 0, tim 0.06, UE 0, åtgång 1, spill 1)
R7.1043100 Draghandtag på vägg rivs (mtrl 0, tim 0.06, UE 0, åtgång 1, spill 1)
R7.1044000 Handdukshängare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1049000 Toalettpappershållare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1049100 Torkställ över badkar rivs (mtrl 0, tim 0.06, UE 0, åtgång 1, spill 1)",0,0.26,0,242,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.009,Duschutrustning rivs,st,"R7.1043300 Duschdraperiskena L=1000 rivs (mtrl 0, tim 0.06, UE 0, åtgång 1, spill 1)
R7.1044000 Handdukshängare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)
R7.1049300 Tvålhållare rivs (mtrl 0, tim 0.04, UE 0, åtgång 1, spill 1)",0,0.14,0,130,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.013,Våtrumsspackling i fall,m²,"Q3.1113000 30 armerat flytspackel i fall (mtrl 0, tim 0, UE 2075, åtgång 1, spill 1)",0,0,2075,2283,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.023,Plastmattor v-täta på golv,m²,"Q3.7202000 2,0 plastmatta, v-tät (mtrl 0, tim 0, UE 920, åtgång 1, spill 1)
Q3.7203000 Uppvikt plastmatta, v-tät (mtrl 0, tim 0, UE 165, åtgång 1, spill 1)",0,0,1085,1194,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.027,Kakel på vägg,m²,"Q1.4323500 Kakelplattor, 150x150 färgade (mtrl 303, tim 0.8, UE 0, åtgång 1, spill 1.06)
Q1.4335000 Fuktskydd typ tätduk (mtrl 0, tim 0, UE 380, åtgång 1, spill 1)",321.18,0.8,380,1483,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.031,Plastmattor på vägg,m²,"Q5.7321000 1,0 väggplastmatta (mtrl 0, tim 0, UE 410, åtgång 1, spill 1)
P2.2247600 Spackling skivor 59-03500 (mtrl 0, tim 0, UE 74, åtgång 1, spill 1)",0,0,484,532,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
14.042,Ommålning inomhus våtrum,st,"P2.2542100 Våtrumsfärg 966-30512 VA (mtrl 0, tim 0, UE 153, åtgång 1, spill 1)",0,0,153,168,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.034,WC-duschinredning i lägenhet,st,"Y3.4024000 Toalettpappershållare (mtrl 196, tim 0.17, UE 0, åtgång 1, spill 1)
Y3.4011600 Handdukshängare, 5-krok (mtrl 78, tim 0.17, UE 0, åtgång 1, spill 1)
Y3.4027000 Tvålhållare (mtrl 131, tim 0.17, UE 0, åtgång 1, spill 1)
S4.5130600 Underskåp B=600 (mtrl 3444, tim 1, UE 0, åtgång 1, spill 1)
S4.5170300 Högskåp B=300 (mtrl 2366, tim 1.1, UE 0, åtgång 1, spill 1)
S4.5300600 Bänkskiva med urtag L=600 (mtrl 1140, tim 0.5, UE 0, åtgång 1, spill 1)
S4.5400600 Inbyggnadstvättställ 560x400 (mtrl 2956, tim 0.55, UE 0, åtgång 1, spill 1)
S4.5250050 Spegel med spotlights 600x834 (mtrl 5712, tim 0.55, UE 0, åtgång 1, spill 1)
X4.1022000 Duschvägg hörn 900x900 klarglas (mtrl 7158, tim 4, UE 0, åtgång 1, spill 1)",23181,8.21,0,30816,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.032,Badrumsinredning,st,"Y3.8006400 Badrumsskåp av trä + belys. B=650 (mtrl 5544, tim 0.8, UE 0, åtgång 1, spill 1)
Y3.4006100 Draghandtag, L=600 (mtrl 402, tim 0.22, UE 0, åtgång 1, spill 1)
Y3.4011600 Handdukshängare, 5-krok (mtrl 78, tim 0.17, UE 0, åtgång 1, spill 1)
Y3.4023000 Toalettborsthållare + borste (mtrl 250, tim 0.28, UE 0, åtgång 1, spill 1)
Y3.4024000 Toalettpappershållare (mtrl 196, tim 0.17, UE 0, åtgång 1, spill 1)
Y3.5002000 Torkställ över badkar (mtrl 860, tim 0.45, UE 0, åtgång 1, spill 1)",7330,2.09,0,9274,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
16.070,Våtrumsdörr 9x21 PP-laminerad,st,"S3.2174900 9x21 laminat våtrumsdörr (mtrl 11738, tim 1.25, UE 0, åtgång 1, spill 1)
H5.1731300 Foder, 12x43 vitmålad (mtrl 25.3, tim 0.1, UE 0, åtgång 10.6, spill 1.1)
S5.1105000 Badrumströskel av ek (mtrl 205, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1114000 WC-behör (mtrl 385, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1121000 Trycke av metall (mtrl 265, tim 0.11, UE 0, åtgång 1, spill 1)",12888,2.64,0,15343,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
15.022,Plastmattor på golv,m²,"Q3.7102000 2,0 plastmatta (mtrl 0, tim 0, UE 505, åtgång 1, spill 1)",0,0,505,556,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
17.030,Tvättplatsinredning med hygienskåp,st,"Y3.8007100 Hygienskåp, B=475 (mtrl 2411, tim 0.7, UE 0, åtgång 1, spill 1)
Y3.4017000 Papperskorg, väggmonterad (mtrl 127, tim 0.17, UE 0, åtgång 1, spill 1)
Q1.4324000 Kakelfrimärke, 750x450 vita (mtrl 70, tim 0.8, UE 0, åtgång 1, spill 1.05)",2611.5,1.67,0,4165,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
16.059,Toalettinnerdörr 9x21 målad,st,"S3.2100900 9x21 målad lättdörr (mtrl 1449, tim 0.85, UE 0, åtgång 1, spill 1)
H5.1731300 Foder, 12x43 vitmålad (mtrl 25.3, tim 0.1, UE 0, åtgång 10.6, spill 1.1)
S5.1105000 Badrumströskel av ek (mtrl 205, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1114000 WC-behör (mtrl 385, tim 0.11, UE 0, åtgång 1, spill 1)
S5.1121000 Trycke av metall (mtrl 265, tim 0.11, UE 0, åtgång 1, spill 1)",2599,2.24,0,4682,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
19.001,Borttransport rivningsmassor,m³,"R7.7800100 Borttransport rivningsmassor (mtrl 0, tim 0, UE 265, åtgång 1, spill 1)",0,0,265,292,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
19.002,Tippavgifter rivningsmassor,st,"R7.7801000 Tippavgift omålat virke (mtrl 250, tim 0, UE 0, åtgång 1, spill 1)
R7.7801500 Tippavgift målat virke (mtrl 450, tim 0, UE 0, åtgång 1, spill 1)
R7.7801800 Tippavgift tryckimp virke (mtrl 1600, tim 0, UE 0, åtgång 1, spill 1)
R7.7802000 Tippavgift betong, lättbtg, tegel mm (mtrl 1050, tim 0, UE 0, åtgång 1, spill 1)
R7.7802500 Tippavgift armerad betong (mtrl 1050, tim 0, UE 0, åtgång 1, spill 1)
R7.7804000 Tippavgift asbest (mtrl 1600, tim 0, UE 0, åtgång 1, spill 1)
R7.7804500 Tippavgift asfalt (mtrl 1095, tim 0, UE 0, åtgång 1, spill 1)
R7.7805000 Tippavgift komposterbart material (mtrl 1050, tim 0, UE 0, åtgång 1, spill 1)
R7.7806000 Tippavgift osorterat material (mtrl 1850, tim 0, UE 0, åtgång 1, spill 1)
R7.7807000 Tippavgift kyl-frys (mtrl 600, tim 0, UE 0, åtgång 1, spill 1)
R7.7808000 Tippavgift elektronik (mtrl 300, tim 0, UE 0, åtgång 1, spill 1)",10895,0,0,10895,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.001,Arbetsplatsorganisation,st,"A8.1210500 Telefon, kopiering, kontorsmaterial (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.2976000 Betongprovning (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.1211500 Skydd, intäckningar (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A1.1111000 Skyltställning (mtrl 12463, tim 16, UE 0, åtgång 1, spill 1)
B1.3001500 Utsättning (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.1216000 Skyddsräcken (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.1216500 Dammskydd (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.1217000 Övertidsersättning, skift, övrigt (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",12463,16,0,27343,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.002,"Provisoriska bodar, inhägnader",st,"A8.2933200 Kontorsbod-24m²,komb,wc,pentry (mtrl 5892, tim 0, UE 0, åtgång 1, spill 1)
A8.2931200 Personalbod-6 man, tvätt/dusch (mtrl 6345, tim 0, UE 0, åtgång 1, spill 1)
A8.2935200 Toalettbod-dubbel, slam/wc (mtrl 3059, tim 0, UE 0, åtgång 1, spill 1)
A8.1312000 Verkstadsbod 40 m² (mtrl 4645, tim 0, UE 0, åtgång 1, spill 1)
A8.2939200 Förrådscontainer, 20 fot (mtrl 1926, tim 0, UE 0, åtgång 1, spill 1)
A1.1217000 Städning bodar (mtrl 2850, tim 0, UE 0, åtgång 1, spill 1)
A1.1217500 Uppvärmning bodar (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A1.1110500 Etablering (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",24717,0,0,24717,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.003,Handverktyg,st,"A8.2820800 Skruvdragare batteri, 8 mm (mtrl 85, tim 0, UE 0, åtgång 1, spill 1)
A8.2822600 Spikpistol luftdriven -100 mm (mtrl 94, tim 0, UE 0, åtgång 1, spill 1)
A8.2845200 Handborrmaskin stål 220 V -16mm (mtrl 58, tim 0, UE 0, åtgång 1, spill 1)
A8.2642900 Slangar /m (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.2831000 Handcirkelsåg 220 V (mtrl 85, tim 0, UE 0, åtgång 1, spill 1)
A8.2833000 Byggsåg, kap, klyv 380V dj 175 mm (mtrl 313, tim 0, UE 0, åtgång 1, spill 1)
A8.2841200 Betongslipmaskin golv 220 V (mtrl 201, tim 0, UE 0, åtgång 1, spill 1)
A8.2950400 Dammsugare 220 V 2,3 kW (mtrl 140, tim 0, UE 0, åtgång 1, spill 1)
A8.2911200 Avvägningsinstrument laser vert/hor (mtrl 482, tim 0, UE 0, åtgång 1, spill 1)
A8.2161600 Släpkärra för personbil 900 kg (mtrl 297, tim 0, UE 0, åtgång 1, spill 1)",1755,0,0,1755,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.004,Maskiner på arbetsplatsen,st,"A8.2340600 Betongblandare tipp 220 V 125 l (mtrl 102, tim 0, UE 0, åtgång 1, spill 1)
A8.2470600 Stavvibrator med motor  25-75 mm (mtrl 184, tim 0, UE 0, åtgång 1, spill 1)
A8.2472200 Vibratorbalk dubbel -6,25 m (mtrl 1189, tim 0, UE 0, åtgång 1, spill 1)
F1.1100600 Hakställning (mtrl 42, tim 0.18, UE 0, åtgång 1, spill 1)
A8.2473200 Glättningsmaskin 380 V 900 mm (mtrl 386, tim 0, UE 0, åtgång 1, spill 1)
A8.2522800 Huvudcentral 63 A (mtrl 92, tim 0, UE 0, åtgång 1, spill 1)
A8.2525800 Kablar 16A/m (mtrl 3, tim 0, UE 0, åtgång 1, spill 1)
A8.2531400 Kompr.på hjul 16 A -0,5 m³/min (mtrl 157, tim 0, UE 0, åtgång 1, spill 1)
A8.2566200 Värmefläkt 380 V 9-14 kW (mtrl 55, tim 0, UE 0, åtgång 1, spill 1)
A2.1212000 Mobilkran 45 ton (mtrl 0, tim 0, UE 1450, åtgång 1, spill 1)
A8.2852800 Bockmaskin elmek 380 V 20 mm (mtrl 507, tim 0, UE 0, åtgång 1, spill 1)
A8.2970000 Maskinmontage (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.2971000 Maskinreparationer (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.2975000 Drivmedel (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",2717,0.18,1450,4479,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.005,Diverse transporter,st,"A8.3111000 Container, sophantering (mtrl 1260, tim 0, UE 0, åtgång 1, spill 1)
A8.3111500 Lastbil (mtrl 1008, tim 0, UE 0, åtgång 1, spill 1)
A8.3113000 Interna transporter (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3113500 Externa transporter (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",2268,0,0,2268,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.008,"Städning, rengöring",st,"A8.3410100 Byggstädning (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3411000 Slutstädning (15:-/m²) (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3411500 Fönsterputsning (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3412000 Förbrukningsmaterial (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3413000 Avstädning arbetsplats (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",0,0,0,0,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.009,Arbetsledning,st,"A8.3510100 Platschef (mtrl 90626, tim 0, UE 0, åtgång 1, spill 1)
A8.3510500 Arbetsledare (mtrl 74419, tim 0, UE 0, åtgång 1, spill 1)
A8.3513000 Bilkostnader (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",165045,0,0,165045,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.012,"Centraladm, risk, vinst.",st,"A8.3810100 Vinst (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3810500 Risk (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3811500 Kontorshyra (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A7.2114600 Kontorsdrift, telefoni, data mm (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3812500 Arbetschef (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3813000 Kalkylator (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3813500 Bankgaranti, borgen (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3814000 Garantiarbeten (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3815500 Utbildning, kvalitetssäkring (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3816500 Resor (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3818000 Besiktningskostnader, justeringar (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
A8.3819000 Representation, reklam (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",0,0,0,0,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr
21.016,Teknisk dokumentation för hus,st,"Y2.3001100 Ansökningshandlingar för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1000310 Kontrollplaner för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005020 Bygghandlingar för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005030 Relationshandlingar för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005040 Digital förvaltningsinformation för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005050 Miljödokumentation för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005055 Produktdokumentation för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005060 Driftinstruktioner för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005065 Underhållsinstruktioner för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005075 Säkerhetsinstruktioner för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)
Y9.1005080 Brukarinstruktioner för hus (mtrl 0, tim 0, UE 0, åtgång 1, spill 1)",0,0,0,0,2026-04-22,HSB-3a-ROT-helrenovering-v6.wbr